Stop_Words,Pre-Processing,Model,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Removed,Lemmatizing,SkipGram,600,DescTree,0.6777041942604857,0.4171612606395214,0.4973266662337381,0.4537037037037037
Removed,Lemmatizing,SkipGram,900,DescTree,0.6754966887417219,0.4163256955810147,0.4975972465744528,0.4533478879028617
Not Removed,None,SkipGram,600,LogReg,0.6777041942604857,0.4155835080363382,0.4942312271359612,0.4514029686365798
Not Removed,None,SkipGram,300,LogReg,0.6777041942604857,0.4155835080363382,0.4942312271359612,0.4514029686365798
Not Removed,Lemmatizing,SkipGram,900,LogReg,0.6754966887417219,0.4149628035371731,0.4929540879277875,0.4504652435686918
Not Removed,Stemming,CBOW,300,DescTree,0.6710816777041942,0.4128932533187852,0.493495248609217,0.4496104181968056
Not Removed,Stemming,SkipGram,900,DescTree,0.6710816777041942,0.4107560230133045,0.4919475290603285,0.4476764430159368
Not Removed,Stemming,SkipGram,900,LogReg,0.6688741721854304,0.4108550129316903,0.4906703898521549,0.4472264988430615
Not Removed,Lemmatizing,SkipGram,300,LogReg,0.673289183222958,0.4123322744298516,0.4885815096218369,0.4469381241374877
Not Removed,Lemmatizing,CBOW,600,DescTree,0.6688741721854304,0.4105839416058394,0.4891226703032664,0.4463791755870459
Not Removed,Stemming,SkipGram,300,LogReg,0.6688741721854304,0.4102139406487232,0.4891226703032664,0.4461805555555555
Not Removed,Stemming,CBOW,900,DescTree,0.6622516556291391,0.4087925350288472,0.4914821308742992,0.4461679537745959
Not Removed,Stemming,SkipGram,600,LogReg,0.6688741721854304,0.4098657379828621,0.4891226703032664,0.445988834376586
Not Removed,Stemming,SkipGram,300,DescTree,0.6799116997792495,0.416576622931138,0.4846743295019157,0.4459411369927465
Not Removed,Lemmatizing,SkipGram,600,LogReg,0.6710816777041942,0.4104010025062656,0.4873043704136632,0.4453739831265872
Not Removed,Lemmatizing,SkipGram,900,DescTree,0.6821192052980133,0.4184979731171325,0.4828560296123125,0.4450868314704919
Not Removed,Stemming,CBOW,600,DescTree,0.673289183222958,0.4125782049346684,0.4823906314262831,0.4432861752295855
Removed,Stemming,SkipGram,600,DescTree,0.6688741721854304,0.4094527363184079,0.4782886334610472,0.4395973154362416
Removed,None,SkipGram,300,LogReg,0.6622516556291391,0.4055608974358974,0.4791003744831916,0.4387839100234005
Removed,None,SkipGram,600,LogReg,0.6622516556291391,0.4050626854244425,0.4791003744831916,0.4385665017243965
Removed,Lemmatizing,SkipGram,600,LogReg,0.6600441501103753,0.4045352564102564,0.4778232352750178,0.4376462535956418
Not Removed,None,SkipGram,300,DescTree,0.6754966887417219,0.4109988655394089,0.4743814533411261,0.4367710049423394
Not Removed,None,CBOW,300,DescTree,0.6622516556291391,0.4026282932688508,0.477552654934303,0.4366189744684857
Removed,None,SkipGram,600,DescTree,0.6710816777041942,0.4103327965646806,0.4733748944736671,0.4361692806448786
Removed,None,SkipGram,900,LogReg,0.6600441501103753,0.4029567307692308,0.4762755157261294,0.4360738829231296
Not Removed,None,CBOW,600,DescTree,0.6644591611479028,0.4056328526857239,0.4741866354958113,0.4356538884465172
Removed,Lemmatizing,SkipGram,300,LogReg,0.6600441501103753,0.403438245579632,0.4747277961772409,0.4353457533734883
Removed,Stemming,SkipGram,600,LogReg,0.6578366445916115,0.401449899511915,0.4749983765179557,0.434727845254161
Removed,Stemming,SkipGram,300,LogReg,0.6578366445916115,0.401449899511915,0.4749983765179557,0.434727845254161
Not Removed,Lemmatizing,CBOW,300,DescTree,0.6622516556291391,0.4022520325203252,0.4744572158365261,0.4346442902690151
Not Removed,Lemmatizing,CBOW,900,DescTree,0.6600441501103753,0.4013782051282051,0.4747277961772409,0.4345015122506173
Removed,Stemming,SkipGram,300,DescTree,0.6578366445916115,0.4003525641025641,0.4734506569690673,0.4333638558228585
Removed,Stemming,SkipGram,900,LogReg,0.6556291390728477,0.399326923076923,0.4721735177608936,0.4322261993950997
Removed,Stemming,CBOW,300,DescTree,0.6490066225165563,0.5090612002376708,0.4622831481393725,0.4316664448900196
Removed,Lemmatizing,SkipGram,900,LogReg,0.6556291390728477,0.3992032520325203,0.4706257982120052,0.4312487045304752
Removed,None,CBOW,300,DescTree,0.6490066225165563,0.3966530981456355,0.4714375392341494,0.4306878306878306
Not Removed,None,CBOW,900,DescTree,0.6600441501103753,0.3993911797810294,0.4669891984327987,0.4287129939303852
Removed,Lemmatizing,CBOW,900,DescTree,0.6578366445916115,0.402415458937198,0.4641643396757365,0.4277188780824985
Removed,None,CBOW,600,DescTree,0.6445916114790287,0.3931206038771659,0.4673355412689135,0.4268929027549717
Not Removed,None,SkipGram,600,DescTree,0.6622516556291391,0.4009147713971872,0.463623178994307,0.4264518884617732
Removed,None,SkipGram,300,DescTree,0.6534216335540839,0.3957824582824583,0.4631577808082776,0.4251517635458617
Removed,None,CBOW,900,LogReg,0.6269315673289183,0.3874172185430464,0.4664047448968548,0.4230038671394394
Removed,Lemmatizing,CBOW,600,DescTree,0.6291390728476821,0.5126667547219654,0.4478253823665863,0.4218041796412368
Removed,Stemming,CBOW,900,DescTree,0.6379690949227373,0.3888149790588815,0.4573132454488386,0.4193796762408932
Removed,None,CBOW,600,LogReg,0.6203090507726269,0.3833419666753,0.4625733272723337,0.4186920614987485
Removed,None,CBOW,900,DescTree,0.6291390728476821,0.3850513391476464,0.4583955668116977,0.4184671552734109
Removed,None,CBOW,300,LogReg,0.6181015452538632,0.3813090856606769,0.4597484685152715,0.4163898117386489
Removed,Lemmatizing,CBOW,900,LogReg,0.609271523178808,0.3771241830065359,0.4546399116825768,0.4119159908176621
Not Removed,Stemming,CBOW,600,LogReg,0.6445916114790287,0.3860171765968867,0.4487629066822521,0.4118695055346242
Not Removed,None,CBOW,900,LogReg,0.6379690949227373,0.3831444392692646,0.448026928155508,0.4109961685823755
Removed,Lemmatizing,CBOW,300,DescTree,0.6490066225165563,0.4004387662924248,0.4435785873541571,0.4097647860024098
Removed,Lemmatizing,CBOW,600,LogReg,0.6026490066225165,0.3740213066358619,0.4523562136069441,0.4086989516592405
Removed,Lemmatizing,CBOW,300,LogReg,0.6026490066225165,0.37323549664314,0.4508084940580557,0.4077558348294434
Not Removed,Lemmatizing,CBOW,900,LogReg,0.6379690949227373,0.3817099742495453,0.4433837695088425,0.4069119531393008
Not Removed,Lemmatizing,CBOW,600,LogReg,0.6357615894039735,0.3800322061191626,0.4421066303006689,0.4056193229942463
